Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
2.29,-7.14,-74.1,-3.6,-3.6,74.3,-16.2,12.4,1.5
2.3,-7.14,-75.1,-3.6,-3.4,75.2,-16.5,11.7,4.3
2.31,-7.02,-75.4,-3.6,-3.5,75.6,-16.7,10.6,6.6
2.32,-6.84,-74.8,-3.6,-3.3,75,-17,9.1,8.9
2.33,-6.67,-73.6,-3.4,-2.9,73.7,-17.3,7.7,11.3
2.34,-6.48,-72.2,-2.8,-2.8,72.3,-17.8,6.2,13.2
2.35,-6.26,-70.7,-2,-2.8,70.8,-18.3,4.5,14.6
2.36,-6.09,-68.9,-1.3,-2.9,68.9,-18.6,2.7,15.3
2.37,-5.63,-66.9,-0.6,-3,67,-18.8,0.8,15.3
2.38,-3.43,-56.8,-0.1,-3.4,56.9,-18.7,-1.1,14.7
2.39,-5.21,-51.9,1.9,-3.5,52,-18.7,-2.6,13.4
2.4,-7.01,-53.6,3.2,-5.2,54,-18.8,-4.2,10.5
2.41,-7.54,-67.8,1.9,-7,68.2,-19.2,-6.6,7.8
2.42,-8.36,-80,-1.6,-7.9,80.4,-19.4,-10.2,7.4
2.43,-8.7,-86.4,-1.1,-7.3,86.8,-19.3,-12.2,8.3
2.44,-8.43,-90.6,1.4,-7.3,90.9,-18.8,-13.3,6.9
2.45,-7.86,-90.3,2.5,-7.8,90.7,-18.2,-14.3,4.4
2.46,-7.02,-84.7,1.1,-7.2,85,-17.7,-15.6,2.7
2.47,-6.23,-75.9,2.1,-5.2,76.2,-17.5,-14.5,1.5
2.48,-5.72,-67.6,3.8,-4.2,67.9,-17.4,-11.9,-0.8
2.49,-5.31,-61.8,4.8,-5.1,62.2,-17.2,-10.4,-4.2
2.5,-4.96,-57.3,4.2,-6,57.8,-16.9,-10.9,-7.2
2.51,-5.2,-53.7,4.1,-5.6,54.1,-16.9,-11.6,-9.5
2.52,-5.76,-52.7,4.3,-4.4,53.1,-17.3,-10.5,-11.6
2.53,-6.39,-56.6,4.6,-4.2,56.9,-17.9,-8,-14
2.54,-7.07,-63,4.1,-5.1,63.4,-18.4,-5.9,-16.5
2.55,-7.58,-69.4,2.2,-5.5,69.6,-18.7,-4.6,-18.2
2.56,-7.78,-74,-0.8,-4.6,74.2,-18.8,-2.3,-18
2.57,-7.52,-77.3,-2.4,-4.3,77.5,-18.7,1.8,-15.8
2.58,-7.11,-76.9,-2.1,-4.9,77.1,-18.4,4,-14.2
2.59,-6.81,-73.7,-2.4,-4.7,73.9,-17.9,4.9,-12.9
2.6,-6.47,-69.5,-2.9,-3.5,69.7,-17.3,6.3,-11
2.61,-6.16,-66.1,-2.3,-2.6,66.2,-16.9,8.9,-9.3
2.62,-5.91,-63.4,-1.5,-2.5,63.5,-16.3,11.8,-8.5
2.63,-6.07,-62,-2.2,-3.2,62.1,-15.7,13.9,-7.8
2.64,-6.15,-62.4,-3.3,-3.8,62.6,-15,14.5,-6.2
2.65,-6.39,-64.3,-3.4,-4,64.5,-14.6,14.1,-4.2
2.66,-6.6,-66.2,-2.7,-3.9,66.4,-14.3,13.5,-2.4
2.67,-6.77,-68.6,-2.5,-3.9,68.7,-14,12.6,-1.1
2.68,-6.82,-70.3,-2.9,-3.7,70.5,-13.7,11.4,0.2
2.69,-6.78,-70.8,-3.2,-2.9,71,-13.3,10.7,1.9
2.7,-6.7,-70.5,-3.2,-2.1,70.6,-13.1,11,3.9
2.71,-6.76,-70.5,-3.1,-2,70.6,-13.3,11.7,6.1
2.72,-6.73,-71.2,-2.7,-2.5,71.3,-13.7,11.8,8.2
2.73,-6.63,-71.8,-2,-2.9,71.8,-14.2,10.9,9.9
2.74,-6.43,-71.3,-1.1,-2.9,71.4,-14.8,9.5,10.9
2.75,-6.21,-69.9,-0.5,-2.9,70,-15.2,7.9,11.2
2.76,-5.96,-67.7,-0.3,-2.9,67.8,-15.4,6,10.9
2.77,-5.72,-65.1,-0.6,-2.7,65.2,-15.6,4.1,10.7
2.78,-5.59,-62.5,-1.3,-2.5,62.6,-15.6,2.2,10.9
